displayName,rankingSortRank,primaryPhotoThumb,location,aliasNames
Embry-Riddle Aeronautical University -- Daytona Beach,75,https://www.usnews.com/dims4/USNEWS/31c25f6/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F29%2Fcf%2F934cc888414685dd2f9799ad12a6%2F190816embry-riddle-aeronautical-university0.jpeg,"Daytona Beach, FL",Embry Riddle Aeronautical University
George Washington University,75,https://www.usnews.com/dims4/USNEWS/e405a5a/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F93%2F742265d75c507c9b4d74c460544823%2Fcollege-photo_25925.jpg,"Washington, DC",GW GWU
Illinois Institute of Technology,75,https://www.usnews.com/dims4/USNEWS/e009e9e/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F70%2F1c%2Fad873b444082bbd6b37ca1130dfe%2F190903illinois-institute-of-technology14.jpg,"Chicago, IL",Illinois Tech IIT
Missouri University of Science and Technology,75,https://www.usnews.com/dims4/USNEWS/b2b3fc5/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa6%2Ffe16b681d1cb675b9101e02e54ca21%2Fcollege-photo_31627.jpg,"Rolla, MO",Missouri University of Science and Technology
Stevens Institute of Technology,75,https://www.usnews.com/dims4/USNEWS/d4d2891/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa8%2Fe21b1a4c78eec18a599763e6e6fa44%2Fcollege-photo_26182.jpg,"Hoboken, NJ",
Syracuse University,75,https://www.usnews.com/dims4/USNEWS/70b0898/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F21%2F5a%2Fcf871a134def9eb76eeaf37ba49e%2Fjmh-drone-halloflanguages-summer-00001.jpg,"Syracuse, NY",
University of Central Florida,75,https://www.usnews.com/dims4/USNEWS/7c16354/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd5%2Ff4ffeeb4fbffe03e2525c316867e95%2Fucf_41566218.jpg,"Orlando, FL",UCF
University of Cincinnati,75,https://www.usnews.com/dims4/USNEWS/34b908f/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F66%2F6035914dbead0a6776e6610cca02b0%2Fcollege-photo_32541.jpg,"Cincinnati, OH",
University of Illinois--Chicago,75,https://www.usnews.com/dims4/USNEWS/904f4dd/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fe9%2F6d907501915ba1862cb6beb9b68690%2Fcollege-photo_9965.jpg,"Chicago, IL",UIC University of Illinois Chicago
The University of Texas at Dallas,75,https://www.usnews.com/dims4/USNEWS/531c16d/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fcc%2F8641043a909b438377e2779492e1a1%2Fcollege-photo_33942.jpg,"Richardson, TX",University of Texas Dallas
Washington State University,75,https://www.usnews.com/dims4/USNEWS/c35e3b7/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F99%2F7a961effc21d2b440fab065b5dc6b1%2Fcollege-photo_8117.jpg,"Pullman, WA",
New Jersey Institute of Technology,87,https://www.usnews.com/dims4/USNEWS/b17606c/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7e%2Fb3b8e2741b92a0ea183c9bec080001%2Fcollege-photo_33255.jpg,"Newark, NJ",NJIT
"University of California, Riverside",87,https://www.usnews.com/dims4/USNEWS/36756a7/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F6c%2F68f3515aea1ba176103a16ba099ccf%2Fcollege-photo_13243.jpg,"Riverside, CA",UC Riverside University of California Riverside
"University of California, Santa Cruz",87,https://www.usnews.com/dims4/USNEWS/04b88f5/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F8e%2Ffa0566a5854bafa34cbf50251bf6e0%2Fcollege-photo_25690.jpg,"Santa Cruz, CA",UC Santa Cruz University of California Santa Cruz
University of Houston,87,https://www.usnews.com/dims4/USNEWS/ced7483/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F0e%2Fbc2b83427550af141aa26c40835fab%2FCampus_Buildings_Night_Pano_19NOV19_00025A.JPG,"Houston, TX",
University of Kansas,87,https://www.usnews.com/dims4/USNEWS/bd4e3a9/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fe0%2Fe0ca120d3a9ef1d8d4a0872ddc4c83%2Fcollege-photo_1157.jpg,"Lawrence, KS",KU
University of Nebraska -- Lincoln,87,https://www.usnews.com/dims4/USNEWS/3130472/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa8%2Fcb2a25ab453411f161360628588545%2Fcollege-photo_35461.jpg,"Lincoln, NE",University of Nebraska Lincoln
