displayName,rankingSortRank,primaryPhotoThumb,location,aliasNames
Mount Holyoke College,36,https://www.usnews.com/dims4/USNEWS/e832eca/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7b%2F41%2F6bb3fa3247bc880134c8503b8680%2F190823mount-holyoke-college0.jpg,"South Hadley, MA",
Bucknell University,37,https://www.usnews.com/dims4/USNEWS/f036aff/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F74%2F0954d89c3ce63d2473a1985f3bf6d0%2F21USNewsBucknell0001.JPEG,"Lewisburg, PA",
Occidental College,37,https://www.usnews.com/dims4/USNEWS/f65bf61/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F0f%2Faf6f944ff0590e7971caa188f30048%2Fcollege-photo_25499.jpg,"Los Angeles, CA",
Denison University,39,https://www.usnews.com/dims4/USNEWS/2a1d874/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F74%2F3a09445ee145787ca15291bdced7b4%2FDenisonUSNEWSFEATUREDIMAGESmall.jpg,"Granville, OH",
Franklin & Marshall College,39,https://www.usnews.com/dims4/USNEWS/d97e4fd/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fde%2Fe4ca9faeffa7b406405b1e93c32113%2F10-24_Campus_08_dg.jpg,"Lancaster, PA",F&M Franklin & Marshall
Lafayette College,39,https://www.usnews.com/dims4/USNEWS/e7ebd27/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F5b%2Fd3ef5baa544c259ec8e1e2c9d23c84%2Fcollege-photo_17471.jpg,"Easton, PA",
Oberlin College and Conservatory,39,https://www.usnews.com/dims4/USNEWS/44a0c1e/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F5b%2F1817c57481f8a7f92e4270c516664a%2Fcollege-photo_19665.jpg,"Oberlin, OH",
Skidmore College,39,https://www.usnews.com/dims4/USNEWS/7585c23/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc1%2F627f6ad69fd172842a5d23a02e7102%2Fcollege-photo_19600.jpg,"Saratoga Springs, NY",
Trinity College,39,https://www.usnews.com/dims4/USNEWS/2d878fe/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd8%2F7205b4fda70c0b11adcec794bd15fc%2Fcollege-photo_23697.jpg,"Hartford, CT",
Baylor University,39,https://www.usnews.com/dims4/USNEWS/3b19498/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F8b%2Ffa3e63d95c8d04d588236fa7237b3e%2Fcollege-photo_33114.jpg,"Waco, TX",
