displayName,rankingSortRank,primaryPhotoThumb,location,aliasNames
"University of Nevada, Las Vegas",67,https://www.usnews.com/dims4/USNEWS/c3acff6/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7d%2F9d97b74f7b835966dad6f584b87900%2Fcollege-photo_13482.jpg,"Las Vegas, NV",UNLV University of Nevada Las Vegas
University of New Mexico,67,https://www.usnews.com/dims4/USNEWS/c5388ab/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F2a%2F7a60869d82f635300e20054dbdb24a%2Fcollege-photo_21160.jpg,"Albuquerque, NM",
University of North Carolina at Greensboro,67,https://www.usnews.com/dims4/USNEWS/f89bbe0/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F12%2F0eb548d7adc5526dfe911b42ba1d14%2Fcollege-photo_17858.jpg,"Greensboro, NC",UNC University of North Carolina Greensboro
University of North Carolina--Charlotte,67,https://www.usnews.com/dims4/USNEWS/4a3fe24/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F36%2Fbd%2F06f163e14632822728f0b5e3e38e%2Fhero-image.png,"Charlotte, NC",UNC University of North Carolina Charlotte
University of Rhode Island,67,https://www.usnews.com/dims4/USNEWS/004713b/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F2e%2F59556432de86ff4f1ed552cdbfca20%2Fcollege-photo_1461.jpg,"Kingston, RI",URI
University of Texas Medical Branch--Galveston,67,,"Galveston, TX",University of Texas Medical Branch Galveston
Fairfield University,93,https://www.usnews.com/dims4/USNEWS/b0b7202/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fec%2F8db67a0002f84de08839a96e53e810%2F1-Bellarmine-Hall_Hero-Image.jpg,"Fairfield, CT",
Florida Atlantic University,93,https://www.usnews.com/dims4/USNEWS/4968caa/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F94%2F43312647f96d895292321e35f4f5ad%2Ffau_37368267.jpg,"Boca Raton, FL",
George Mason University,93,https://www.usnews.com/dims4/USNEWS/60afc9d/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F17%2Fe5dab018c1e37b367bf01ebfad19a9%2F200522100resize.jpg,"Fairfax, VA",GMU
Gonzaga University,93,https://www.usnews.com/dims4/USNEWS/87b30fa/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc2%2F93f11440babd41bacc24e6cc1e8e65%2FCollege_Hall_US_News.jpg,"Spokane, WA",
James Madison University,93,https://www.usnews.com/dims4/USNEWS/6bf02b6/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fe8%2Ffa%2F1d740c164194b6b13a751f97b1d7%2F190830james-madison-university13.jpg,"Harrisonburg, VA",JMU
Loma Linda University,93,,"Loma Linda, CA",
Rutgers University--Camden,93,https://www.usnews.com/dims4/USNEWS/e248769/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F09%2F63b49f50e937baa161efa96c9dbe99%2Fcollege-photo_36064.jpg,"Camden, NJ","Rutgers University Rutgers, the State University of New Jersey Camden"
San Diego State University,93,https://www.usnews.com/dims4/USNEWS/18908b0/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fd0%2F65%2F8a69cd6b4bea83b27cc6d5020342%2Fsdsu-custom-hero-1920x760px.jpg,"San Diego, CA",SDSU
University of Delaware,93,https://www.usnews.com/dims4/USNEWS/7de2039/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F10%2F08e0c8826acc486c0de84f78b8b49d%2FCampus-043021-004.jpg,"Newark, DE",
University of Hawaii at Manoa,93,https://www.usnews.com/dims4/USNEWS/35d791f/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Ff9%2F1a980f168271a41b9f43a932298607%2FHawaii_Hall_4MB.jpg,"Honolulu, HI",UH Manoa University of Hawaii Manoa
